"SampleID","PositionID","Time","Latitude","Longitude","Distance","Area","WindForce","Visibility","Glare","SunAngle","CloudCover","Precipitation","IceCover","ObservationConditions"
110001081,110070425,"09:20:00",51.3698,3.1843,0.489,0.1467,4,"D","none",NA,NA,"N",0,NA
110001081,110070426,"09:22:00",51.3693,3.1771,0.569,0.1707,4,"D","none",NA,NA,"N",0,NA
110001081,110070427,"09:24:00",51.3675,3.1691,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070428,"09:26:00",51.3656,3.1609,0.611,0.1833,4,"D","none",NA,NA,"N",0,NA
110001081,110070429,"09:28:00",51.3637,3.1526,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070430,"09:30:00",51.3618,3.1444,0.606,0.1818,4,"D","none",NA,NA,"N",0,NA
110001081,110070431,"09:32:00",51.3601,3.1361,0.607,0.1821,4,"D","none",NA,NA,"N",0,NA
110001081,110070432,"09:34:00",51.359,3.1298,0.306,0.0918,4,"D","none",NA,NA,"N",0,NA
110001081,110070433,"09:35:00",51.3582,3.1234,0.604,0.1812,4,"D","none",NA,NA,"N",0,NA
110001081,110070434,"09:37:00",51.3578,3.1146,0.614,0.1842,4,"D","none",NA,NA,"N",0,NA
110001081,110070435,"09:39:00",51.3577,3.1058,0.619,0.1857,4,"D","none",NA,NA,"N",0,NA
110001081,110070436,"09:41:00",51.3576,3.0969,0.622,0.1866,4,"D","none",NA,NA,"N",0,NA
110001081,110070437,"09:43:00",51.3575,3.0879,0.62,0.186,4,"D","none",NA,NA,"N",0,NA
110001081,110070438,"09:45:00",51.3574,3.079,0.62,0.186,4,"D","none",NA,NA,"N",0,NA
110001081,110070439,"09:47:00",51.3572,3.0701,0.616,0.1848,4,"D","none",NA,NA,"N",0,NA
110001081,110070440,"09:49:00",51.3569,3.0613,0.61,0.183,4,"D","none",NA,NA,"N",0,NA
110001081,110070441,"09:51:00",51.3566,3.0526,0.606,0.1818,4,"D","none",NA,NA,"N",0,NA
110001081,110070442,"09:53:00",51.3563,3.0439,0.605,0.1815,4,"D","none",NA,NA,"N",0,NA
110001081,110070443,"09:55:00",51.3561,3.0352,0.608,0.1824,4,"D","none",NA,NA,"N",0,NA
110001081,110070444,"09:57:00",51.3558,3.0264,0.606,0.1818,4,"D","none",NA,NA,"N",0,NA
110001081,110070445,"09:59:00",51.3556,3.0178,0.603,0.1809,4,"D","none",NA,NA,"N",0,NA
110001081,110070446,"10:01:00",51.3554,3.0091,0.605,0.1815,4,"D","none",NA,NA,"N",0,NA
110001081,110070447,"10:03:00",51.3552,3.0003,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070448,"10:05:00",51.3551,2.9916,0.607,0.1821,4,"D","none",NA,NA,"N",0,NA
110001081,110070449,"10:07:00",51.3549,2.9829,0.602,0.1806,4,"D","none",NA,NA,"N",0,NA
110001081,110070450,"10:09:00",51.3547,2.9742,0.606,0.1818,4,"D","none",NA,NA,"N",0,NA
110001081,110070451,"10:11:00",51.3545,2.9655,0.603,0.1809,4,"D","none",NA,NA,"N",0,NA
110001081,110070452,"10:13:00",51.3548,2.9569,0.598,0.1794,4,"D","none",NA,NA,"N",0,NA
110001081,110070453,"10:15:00",51.3558,2.9484,0.599,0.1797,4,"D","none",NA,NA,"N",0,NA
110001081,110070454,"10:17:00",51.357,2.94,0.6,0.18,4,"D","none",NA,NA,"N",0,NA
110001081,110070455,"10:19:00",51.3579,2.9337,0.302,0.0906,4,"D","none",NA,NA,"N",0,NA
110001081,110070456,"11:06:00",51.4267,2.8069,0.625,0.1875,4,"D","none",NA,NA,"N",0,NA
110001081,110070457,"11:08:00",51.432,2.8052,0.601,0.1803,4,"D","none",NA,NA,"N",0,NA
110001081,110070458,"11:10:00",51.4372,2.8022,0.616,0.1848,4,"D","none",NA,NA,"N",0,NA
110001081,110070459,"11:12:00",51.4422,2.7987,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070460,"11:14:00",51.4517,2.794,1.596,0.4788,4,"D","none",NA,NA,"N",0,NA
110001081,110070461,"11:16:00",51.4612,2.7896,0.608,0.1824,4,"D","none",NA,NA,"N",0,NA
110001081,110070462,"11:18:00",51.4623,2.789,0.345,0.1035,4,"D","none",NA,NA,"N",0,NA
110001081,110070463,"11:20:00",51.4635,2.7885,0.615,0.1845,4,"D","none",NA,NA,"N",0,NA
110001081,110070464,"11:22:00",51.4726,2.7829,1.567,0.4701,4,"D","none",NA,NA,"N",0,NA
110001081,110070465,"11:24:00",51.4777,2.7795,0.344,0.1032,4,"D","none",NA,NA,"N",0,NA
110001081,110070466,"11:26:00",51.4788,2.7788,0.61,0.183,4,"D","none",NA,NA,"N",0,NA
110001081,110070467,"11:28:00",51.4878,2.7727,1.56,0.468,4,"D","none",NA,NA,"N",0,NA
110001081,110070468,"11:30:00",51.4928,2.7693,0.351,0.1053,4,"D","none",NA,NA,"N",0,NA
110001081,110070469,"11:32:00",51.4939,2.7685,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070470,"11:34:00",51.4989,2.7651,0.613,0.1839,4,"D","none",NA,NA,"N",0,NA
110001081,110070471,"11:36:00",51.508,2.7589,1.574,0.4722,4,"D","none",NA,NA,"N",0,NA
110001081,110070472,"11:38:00",51.517,2.7527,0.609,0.1827,4,"D","none",NA,NA,"N",0,NA
110001081,110070473,"11:40:00",51.522,2.7493,0.609,0.1827,4,"D","none",NA,NA,"N",0,NA
110001081,110070474,"11:42:00",51.5231,2.7485,0.351,0.1053,4,"D","none",NA,NA,"N",0,NA
110001081,110070475,"11:44:00",51.5241,2.7478,0.61,0.183,4,"D","none",NA,NA,"N",0,NA
110001081,110070476,"11:46:00",51.5292,2.7443,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070477,"11:48:00",51.5382,2.7381,1.58,0.474,4,"D","none",NA,NA,"N",0,NA
110001081,110070478,"11:50:00",51.5433,2.7346,0.358,0.1074,4,"D","none",NA,NA,"N",0,NA
110001081,110070479,"11:52:00",51.5444,2.7339,0.615,0.1845,4,"D","none",NA,NA,"N",0,NA
110001081,110070480,"11:54:00",51.5535,2.7277,1.595,0.4785,4,"D","none",NA,NA,"N",0,NA
110001081,110070481,"11:56:00",51.5586,2.7242,0.353,0.1059,4,"D","none",NA,NA,"N",0,NA
110001081,110070482,"11:58:00",51.5597,2.7234,0.612,0.1836,4,"D","none",NA,NA,"N",0,NA
110001081,110070483,"12:00:00",51.5647,2.72,0.608,0.1824,4,"D","none",NA,NA,"N",0,NA
110001081,110070484,"12:04:00",51.5748,2.713,0.609,0.1827,4,"D","none",NA,NA,"N",0,NA
